0 499 1 0
0.2 498.736 1.14281 0.120644
0.4 498.435 1.30582 0.257007
0.6 498.094 1.49185 0.41133
0.8 497.706 1.70406 0.586158
1 497.264 1.94606 0.78439
1.2 496.762 2.2219 1.00932
1.4 496.191 2.53615 1.26467
1.6 495.541 2.89396 1.5547
1.8 494.802 3.3011 1.8842
2 493.962 3.76403 2.25861
2.2 493.008 4.28993 2.68404
2.4 491.925 4.88682 3.16742
2.6 490.695 5.56351 3.71651
2.8 489.302 6.32974 4.34005
3 487.723 7.1961 5.04779
3.2 485.937 8.17412 5.85062
3.4 483.919 9.27618 6.76064
3.6 481.643 10.5154 7.79124
3.8 479.079 11.9057 8.95717
4 476.198 13.4613 10.2746
4.2 472.967 15.1967 11.761
4.4 469.352 17.1262 13.4356
4.6 465.321 19.2633 15.3184
4.8 460.838 21.6205 17.4312
5 455.872 24.2081 19.7964
5.2 450.39 27.0337 22.4375
5.4 444.365 30.1009 25.3779
5.6 437.776 33.4087 28.6413
5.8 430.606 36.9501 32.2504
6 422.847 40.7115 36.2266
6.2 414.503 44.6714 40.589
6.4 405.586 48.8001 45.3535
6.6 396.123 53.0593 50.5322
6.8 386.155 57.4023 56.1319
7 375.734 61.775 62.1541
7.2 364.926 66.1167 68.5933
7.4 353.809 70.3625 75.4373
7.6 342.47 74.4453 82.6664
7.8 331.004 78.2985 90.2537
8 319.506 81.8588 98.1652
8.2 308.076 85.0692 106.361
8.4 296.808 87.8809 114.794
8.6 285.791 90.2554 123.416
8.8 275.105 92.1661 132.172
9 264.819 93.5981 141.007
9.2 254.993 94.5489 149.867
9.4 245.672 95.027 158.698
9.6 236.888 95.0507 167.447
9.8 228.665 94.6468 176.065
10 221.014 93.8486 184.508
10.2 213.936 92.6939 192.736
10.4 207.427 91.2237 200.713
10.6 201.473 89.4799 208.409
10.8 196.058 87.5045 215.8
11 191.162 85.3385 222.865
11.2 186.759 83.0205 229.589
11.4 182.825 80.5866 235.961
11.6 179.334 78.0696 241.975
11.8 176.26 75.4992 247.627
12 173.574 72.9016 252.917
12.2 171.253 70.2996 257.848
12.4 169.272 67.7129 262.425
12.6 167.606 65.1579 266.656
12.8 166.233 62.6485 270.548
13 165.131 60.1959 274.112
13.2 164.282 57.8091 277.358
13.4 163.665 55.4951 280.3
13.6 163.263 53.2589 282.948
13.8 163.06 51.1044 285.316
14 163.042 49.0338 287.416
14.2 163.192 47.0484 289.261
14.4 163.5 45.1485 290.865
14.6 163.951 43.3336 292.239
14.8 164.536 41.6028 293.396
15 165.242 39.9544 294.348
15.2 166.062 38.3864 295.108
15.4 166.985 36.8967 295.685
15.6 168.003 35.4826 296.092
15.8 169.108 34.1415 296.338
16 170.293 32.8706 296.434
16.2 171.551 31.6672 296.389
16.4 172.876 30.5283 296.213
16.6 174.262 29.4512 295.914
16.8 175.703 28.4329 295.501
17 177.195 27.4708 294.981
17.2 178.731 26.5623 294.363
17.4 180.309 25.7046 293.652
17.6 181.923 24.8952 292.856
17.8 183.57 24.1319 291.982
18 185.246 23.4122 291.035
18.2 186.947 22.7339 290.02
18.4 188.67 22.095 288.945
18.6 190.413 21.4935 287.812
18.8 192.171 20.9274 286.628
19 193.943 20.395 285.397
19.2 195.726 19.8945 284.123
19.4 197.517 19.4244 282.81
19.6 199.314 18.9831 281.461
19.8 201.115 18.5693 280.082
20 202.918 18.1816 278.674
20.2 204.72 17.8187 277.242
20.4 206.521 17.4794 275.788
20.6 208.318 17.1627 274.315
20.8 210.109 16.8675 272.825
21 211.894 16.5929 271.322
21.2 213.669 16.3378 269.808
21.4 215.435 16.1016 268.285
21.6 217.189 15.8833 266.756
21.8 218.931 15.6823 265.221
22 220.658 15.4978 263.684
22.2 222.37 15.3293 262.146
22.4 224.066 15.1761 260.61
22.6 225.744 15.0376 259.076
22.8 227.404 14.9134 257.546
23 229.044 14.8029 256.022
23.2 230.663 14.7058 254.505
23.4 232.261 14.6215 252.996
23.6 233.835 14.5498 251.498
23.8 235.387 14.4903 250.011
24 236.914 14.4426 248.536
24.2 238.416 14.4064 247.075
24.4 239.891 14.3815 245.629
24.6 241.34 14.3677 244.198
24.8 242.761 14.3646 242.785
25 244.153 14.372 241.389
25.2 245.517 14.3898 240.012
25.4 246.85 14.4178 238.654
25.6 248.152 14.4558 237.317
25.8 249.423 14.5037 236.002
26 250.662 14.5612 234.709
26.2 251.868 14.6284 233.438
26.4 253.041 14.705 232.192
26.6 254.179 14.7909 230.971
26.8 255.283 14.8861 229.775
27 256.352 14.9904 228.605
27.2 257.384 15.1038 227.461
27.4 258.38 15.2261 226.346
27.6 259.339 15.3572 225.258
27.8 260.26 15.4971 224.199
28 261.143 15.6457 223.17
28.2 261.987 15.8029 222.171
28.4 262.792 15.9686 221.202
28.6 263.557 16.1426 220.264
28.8 264.282 16.325 219.359
29 264.966 16.5155 218.485
29.2 265.61 16.7141 217.644
29.4 266.212 16.9206 216.837
29.6 266.772 17.135 216.063
29.8 267.291 17.357 215.324
30 267.767 17.5864 214.619
30.2 268.201 17.8233 213.949
30.4 268.592 18.0672 213.315
30.6 268.94 18.3181 212.716
30.8 269.245 18.5757 212.154
31 269.508 18.8399 211.628
31.2 269.727 19.1102 211.138
31.4 269.903 19.3865 210.686
31.6 270.037 19.6684 210.27
31.8 270.127 19.9557 209.892
32 270.176 20.248 209.551
32.2 270.182 20.545 209.248
32.4 270.146 20.8462 208.982
32.6 270.069 21.1513 208.754
32.8 269.95 21.4599 208.563
33 269.792 21.7715 208.409
33.2 269.593 22.0856 208.293
